# Function compilation error categories
# Generated from: compilation_by_function.txt
# Total: 331 failing | FIXABLE: 151 | HARD: 132 | JUNK: 48
#
# Format: CATEGORY | error_count | function_name | reasons
#
HARD |   2 | engine_alphabit.cpp_CAlphaBitmap_display_FUN_00410950 | 2 incompatible_types errors
HARD |   4 | engine_clipper.c_clipPolygonNearPlane_FUN_00436420 | 4 errors (type_error:4)
HARD |  19 | engine_clipper.c_clipPolygonToViewFrustum_FUN_004366e0 | 19 errors (incompatible_types:13, type_error:6)
HARD |   9 | engine_colquant.c_computeBoxStatistics_FUN_00441260 | 9 errors (type_error:9)
HARD |   6 | engine_colquant.c_computeWeightedColorDistance_FUN_00441040 | 6 errors (type_error:6)
HARD |   2 | engine_colquant.c_partitionByBlue_FUN_00440dc0 | 2 type_error errors
HARD |   2 | engine_colquant.c_partitionByGreen_FUN_00440c80 | 2 type_error errors
HARD |   2 | engine_colquant.c_partitionByIntensity_FUN_00440f00 | 2 type_error errors
HARD |   3 | engine_colquant.c_quantizeColors_FUN_004406c0 | 3 type_error errors
HARD |   1 | engine_drender.cpp_CDemonRenderer_renderGeometryBatch_FUN_0048d410 | 1 errors (cast_error:1)
HARD |   1 | engine_drender.cpp_CDemonRenderer_renderPerspective_FUN_0048ae10 | 1 errors (cast_error:1)
HARD |   2 | engine_drender.cpp_renderTriangleTextured_FUN_00483370 | 2 type_error errors
HARD |   3 | engine_fileio.cpp_CCheckOutItem_removeCheckOutBookkeeping_FUN_004b35a0 | 3 errors (format_error:2, incompatible_types:1)
HARD |   2 | engine_fileio.cpp_CFileManager_addPodAuditRecord_FUN_004b5950 | 2 errors (incompatible_types:1, undeclared_identifier:1)
HARD |   6 | engine_fileio.cpp_CFileManager_checkOutAndExtractPod_FUN_004ba740 | 6 errors (format_error:4, undeclared_identifier:2)
HARD |   7 | engine_fileio.cpp_CFileManager_rebuildLastPod_FUN_004b5a50 | 7 errors (incompatible_types:5, format_error:2)
HARD |   2 | engine_fileio.cpp_CFileManager_removeAuditRecords_FUN_004bd190 | 2 errors (incompatible_types:1, format_error:1)
HARD |   4 | engine_font.cpp_CBitFont_parseCharacterMetrics_FUN_004cd550 | 4 errors (incompatible_types:2, format_error:2)
HARD |   1 | engine_matrix.c_projectTransformedPoint_FUN_0050cdc0 | undeclared identifier: use of undeclared identifier 'DAT_80000010'
HARD |   1 | engine_pcx.c_writePCXScanline_FUN_00548c50 | single incompatible_types: assigning to 'byte *' (aka 'unsigned char *') from incompatible type 'void *'
HARD |   1 | engine_pod.cpp_CPodFile_getAuditRecord_FUN_00550590 | single incompatible_types: assigning to 'uint *' (aka 'unsigned int *') from incompatible type 'void *'
HARD |   2 | engine_prim.c_renderIndexedPolygonAdvanced_FUN_00553b10 | 2 type_error errors
HARD |   2 | engine_prim.c_renderIndexedPolygonSoftware_FUN_00552a40 | 2 type_error errors
HARD |   2 | engine_prim.c_renderPolygonSoftware_FUN_00552510 | 2 type_error errors
HARD |   2 | engine_prim.c_renderScanlinePolygon_FUN_00553470 | 2 type_error errors
HARD |   2 | engine_prim.c_setupAdvancedSoftwareEdge_FUN_00552f70 | 2 type_error errors
HARD |   2 | engine_prim.c_setupBasicSoftwareEdge_FUN_00551ba0 | 2 type_error errors
HARD |   2 | engine_prim.c_setupColoredSoftwareEdge_FUN_00553190 | 2 type_error errors
HARD |   2 | engine_prim.c_setupSoftwareEdgeWithZMode_FUN_00551d60 | 2 type_error errors
HARD |   6 | shape_design.c_embedCopyrightWatermark_FUN_0046b9a0 | 6 errors (incompatible_types:6)
HARD |   6 | shape_design.c_generateOctant_FUN_00469420 | 6 errors (type_error:6)
HARD |   2 | shape_design.c_mergeTrianglesIntoQuad_FUN_00462190 | 2 type_error errors
HARD |   2 | shape_design.c_mouseWheelPolygonReducer_FUN_004648e0 | 2 incompatible_types errors
HARD |   1 | shape_edittool.cpp_CEditorTools_createModalWindow_FUN_004a0970 | single incompatible_types: assigning to 'uint *' (aka 'unsigned int *') from incompatible type 'void *'
HARD |   2 | shape_edittool.cpp_CEditorTools_getClipboardText_FUN_004a1b30 | 2 incompatible_types errors
HARD |   2 | shape_edittool.cpp_CEditorTools_setClipboardText_FUN_004a1bc0 | 2 incompatible_types errors
HARD |   1 | shape_edittool.cpp_paintWindowBackground_FUN_0049e590 | single incompatible_types: assigning to 'uint *' (aka 'unsigned int *') from incompatible type 'void *'
HARD |   7 | shape_memdbg.cpp_CLeakChecker_dtor_FUN_0050fbc0 | 7 errors (format_error:5, incompatible_types:2)
HARD |   1 | shape_memdbg.cpp_openFile_FUN_0050f7a0 | single incompatible_types: incompatible pointer types assigning to '_FILE *' from 'FILE *' (aka '_IO_FILE *')
HARD |   4 | shape_meshlod.cpp_CLodMesh_computeSamplePointDistances_FUN_00519b50 | 4 errors (undeclared_identifier:4)
HARD |   8 | shape_meshlod.cpp_CLodMesh_eqLoad_FUN_0051cdf0 | 8 errors (format_error:4, type_error:4)
HARD |   2 | shape_meshlod.cpp_CLodMesh_findMinimumCostEdge_FUN_00519680 | 2 type_error errors
HARD |   3 | shape_quantize.cpp_CColorQuantizer_applyQuantization_FUN_00556180 | 3 incompatible_types errors
HARD |   6 | shape_quantize.cpp_CColorQuantizer_computeBoxStatistics_FUN_00555090 | 6 errors (type_error:6)
HARD |   6 | shape_quantize.cpp_CColorQuantizer_getPixelSortKey_FUN_00554ff0 | 6 errors (type_error:6)
HARD |   1 | shape_quantize.cpp_CColorQuantizer_importBitmap_FUN_00554a50 | single incompatible_types: assigning to 'uint *' (aka 'unsigned int *') from incompatible type 'void *'
HARD |   6 | shape_quantize.cpp_CColorQuantizer_reduceColors_FUN_00555a40 | 6 errors (type_error:6)
HARD |   3 | shape_quantize.cpp_quantizeRawPixelData_FUN_00556490 | 3 incompatible_types errors
HARD |   2 | shape_superopt.cpp_CComplexPolygon_buildEdgeList_FUN_005c7b20 | 2 incompatible_types errors
HARD |  12 | shape_superopt.cpp_CComplexPolygon_canMergeEdges_FUN_005c7fb0 | 12 errors (type_error:12)
HARD |   1 | shape_superopt.cpp_CComplexPolygon_closeSplitBoundary_FUN_005ca590 | single incompatible_types: assigning to 'uint *' (aka 'unsigned int *') from incompatible type 'void *'
HARD |  19 | shape_superopt.cpp_CComplexPolygon_isConvex_FUN_005cb3a0 | 19 errors (type_error:19)
HARD |   1 | shape_superopt.cpp_CComplexPolygon_orderEdgesIntoChain_FUN_005c8280 | single incompatible_types: assigning to 'int *' from incompatible type 'void *'
HARD |   1 | shape_superopt.cpp_CComplexPolygon_removedSharedEdges_FUN_005c8160 | single incompatible_types: assigning to 'int *' from incompatible type 'void *'
HARD |  19 | shape_superopt.cpp_CComplexPolygon_splitByDimensions_FUN_005c9500 | 19 errors (type_error:17, incompatible_types:2)
HARD |  12 | shape_superopt.cpp_CComplexPolygon_splitEdgesByPlane_FUN_005c9aa0 | 12 errors (type_error:12)
HARD |   7 | shape_superopt.cpp_CComplexPolygon_splitToConvex_FUN_005c84c0 | 7 errors (incompatible_types:7)
