Sibling annotation report: nocturne.exe <- nocedit.exe
mapping: /home/aryie/Repositories/NocturneDecomp/research/13-sibling_struct_layout_diff/verified_mapping.json   min-confidence: 0.90   signatures: True
mode: APPLY   NAME_SIG=3186  SIG_ONLY=214  ALREADY=484  SKIP_CONF=694  SKIP_SHAPE=25  SKIP_NAMED=64  SKIP_TU=40

  0040a240 <- 00408ec0  0.99  identical      core_actor.cpp_CDemonActor_localToWorldPoint_FUN_0040a240
  0040a290 <- 00408f10  0.99  identical      core_actor.cpp_CDemonActor_worldToLocalPoint_FUN_0040a290
  0040a390 <- 004090c0  0.85  same_mnemonics core_actor.cpp_CDemonActor_testPointInCylinder_FUN_0040a390
  0040a540 <- 00409270  0.85  same_mnemonics core_actor.cpp_CDemonActor_getWorldBoundingBox_FUN_0040a540
  0040a740 <- 00409470  0.97  same_mnemonics core_actor.cpp_CDemonActor_rayIntersect_FUN_0040a740
  0040ab70 <- 00409930  0.99  identical      core_actor.cpp_draw3DPointMarker_FUN_0040ab70
  0040b090 <- 00409e70  0.93  similar_size   core_actor.cpp_CDemonActor_spawnFlies_FUN_0040b090
  0040bd40 <- 0040ac30  0.99  identical      core_actor.cpp_copyToActorDebugBuffer_FUN_0040bd40
  0040bff0 <- 0040aee0  0.99  identical      core_actor.cpp_adjustIndentationLevel_FUN_0040bff0
  0040c040 <- 0040af30  0.97  same_mnemonics core_actor.cpp_CDemonActor_save_FUN_0040c040
  0040c160 <- 0040b050  0.93  same_mnemonics core_actor.cpp_CDemonActor_load_FUN_0040c160
  0040c320 <- 0040b210  0.93  same_mnemonics core_actor.cpp_handleActorPropertyParseError_FUN_0040c320
  0040c3a0 <- 0040b290  0.99  identical      core_actor.cpp_archiveDescription_FUN_0040c3a0
  0040c450 <- 0040b340  0.99  identical      core_actor.cpp_archiveVector_FUN_0040c450
  0040c4f0 <- 0040b3e0  0.99  identical      core_actor.cpp_archiveOrientation_FUN_0040c4f0
  0040c590 <- 0040b480  0.99  identical      core_actor.cpp_archiveLocation_FUN_0040c590
  0040c630 <- 0040b520  0.99  identical      core_actor.cpp_archiveQuaternion_FUN_0040c630
  0040c6d0 <- 0040b5c0  0.99  identical      core_actor.cpp_archiveString_FUN_0040c6d0
  0040c7f0 <- 0040b6e0  0.99  identical      core_actor.cpp_archiveLocalizedString_FUN_0040c7f0
  0040c880 <- 0040b770  0.99  identical      core_actor.cpp_archiveFloat_FUN_0040c880
  0040c900 <- 0040b7f0  0.99  identical      core_actor.cpp_archiveInteger_FUN_0040c900
  0040c980 <- 0040b870  0.99  identical      core_actor.cpp_archiveActor_FUN_0040c980
  0040ca00 <- 0040b8f0  0.99  identical      core_actor.cpp_archiveKeyframedModelInstance_FUN_0040ca00
  0040ca80 <- 0040b970  0.99  identical      core_actor.cpp_archiveDeformableModelInstance_FUN_0040ca80
  0040cb00 <- 0040b9f0  0.93  identical      core_actor.cpp_archiveMotionState_FUN_0040cb00
  0040cbf0 <- 0040bae0  0.99  identical      core_actor.cpp_archivePartStatus_FUN_0040cbf0
  0040ce80 <- 0040bd70  0.93  identical      core_actor.cpp_archiveBox_FUN_0040ce80
  0040cf70 <- 0040be60  0.99  identical      core_actor.cpp_archiveClothList_FUN_0040cf70
  0040d110 <- 0040c000  0.99  identical      core_actor.cpp_archiveRules_FUN_0040d110
  0040d2d0 <- 0040c1c0  0.99  identical      core_actor.cpp_CDemonActor_archive_FUN_0040d2d0
  0040d3f0 <- 0040c2e0  0.85  same_mnemonics core_actor.cpp_registerActorClass_FUN_0040d3f0
  0040d4d0 <- 0040c3c0  0.99  identical      core_actor.cpp_getActorClassByName_FUN_0040d4d0
  0040d540 <- 0040c430  0.93  same_mnemonics core_actor.cpp_createActorByName_FUN_0040d540
  0040d600 <- 0040c4f0  0.99  identical      core_actor.cpp_matchClassTerm_FUN_0040d600
  0040d720 <- 0040c610  0.99  identical      core_actor.cpp_matchClassExpression_FUN_0040d720
  0040d7e0 <- 0040c6d0  0.85  same_mnemonics core_actor.cpp_isOfClass_FUN_0040d7e0
  0040d810 <- 0040c700  0.85  similar_size   core_actor.cpp_checkNameHash_FUN_0040d810
  0040d840 <- 0040c740  0.99  identical      core_actor.cpp_matchesClassName_FUN_0040d840
  0040d860 <- 0040c760  0.93  same_mnemonics core_actor.cpp_isOfClassHash_FUN_0040d860
  0040d890 <- 0040c790  0.99  identical      core_actor.cpp_castToClassHash_FUN_0040d890
  0040d8c0 <- 0040c7c0  0.99  identical      core_actor.cpp_syncActorTypeIDs_FUN_0040d8c0
  0040d8f0 <- 0040c7f0  0.99  identical      core_actor.cpp_resetActorTypeInfo_FUN_0040d8f0
  0040dd20 <- 0040cb90  0.93  identical      core_actor.cpp_setRandomSeed_FUN_0040dd20
  0040dd30 <- 0040cba0  0.99  identical      core_actor.cpp_generateRandomValue_FUN_0040dd30
  0040dda0 <- 0040cc10  0.99  identical      core_actor.cpp_getRandomFloatFromRange_FUN_0040dda0
  0040de00 <- 0040cc70  0.99  identical      core_actor.cpp_getRandomInt_FUN_0040de00
  0040dea0 <- 0040cd10  0.99  identical      core_actor.cpp_randomChance_FUN_0040dea0
  0040df00 <- 0040cd70  0.99  identical      core_actor.cpp_normalizeAngleToPi_FUN_0040df00
  0040dfc0 <- 0040ce30  0.93  identical      core_actor.cpp_crc32ProcessByte_FUN_0040dfc0
  0040e0a0 <- 0040cf10  0.99  identical      core_actor.cpp_crc32ProcessBuffer_FUN_0040e0a0
  0040e0e0 <- 0040cf50  0.99  identical      core_actor.cpp_crc32ProcessInt_FUN_0040e0e0
  0040e100 <- 0040cf70  0.99  identical      core_actor.cpp_crc32ProcessVector_FUN_0040e100
  0040e120 <- 0040cf90  0.93  similar_size   core_actor.cpp_crc32ProcessString_FUN_0040e120
  0040e180 <- 00410360  0.85  identical      core_actor.cpp_copyVector_FUN_0040e180
  0040e1a0 <- 00410380  0.99  identical      core_actor.cpp_CVector3f_length_FUN_0040e1a0
  0040e240 <- 00410440  0.99  identical      core_actor.cpp_CBoundingBox3D_copy_FUN_0040e240
